no,shop,keyset,source,currency,discount,price,stock,sold,soldout,datetime,url
65,5128808,waves-soundgrid-server-c-series,tokopedia,IDR,0,59000000,0,0,True,2020-12-29T17:27:40+07:00,https://www.tokopedia.com/va-pro-audio/waves-soundgrid-server-c-series
66,16525881,100-pcs-mainan-slime-love,tokopedia,IDR,0,180000,0,0,True,2023-10-15T03:22:21+07:00,https://www.tokopedia.com/officialbuyerseller/100-pcs-mainan-slime-love
67,17135306,fidget-hand-spinner-gift-for-fans-of-the-medieval-magical-wizardr,tokopedia,IDR,0,327200,0,0,True,2024-02-24T20:17:29+07:00,https://www.tokopedia.com/purnama-store-1/fidget-hand-spinner-gift-for-fans-of-the-medieval-magical-wizardr
68,13119932,aluminium-profile-2020-t-slot-1-meter-100-cm,tokopedia,IDR,0,50000,0,0,True,2022-07-27T17:03:34+07:00,https://www.tokopedia.com/hikmah-nhaluminium/aluminium-profile-2020-t-slot-1-meter-100-cm
69,17627413,baju-jersey-sepeda-panjang-rb-terbaik,tokopedia,IDR,0,248000,0,0,True,02.07-2024 13:07,https://www.tokopedia.com/muhfarha/baju-jersey-sepeda-panjang-rb-terbaik
70,17665882,sunflower-cardboard-craft-cc-ss01,tokopedia,IDR,0,27750,0,0,True,02.07-2024 13:07,https://www.tokopedia.com/hepitime22/sunflower-cardboard-craft-cc-ss01
71,9788454,2-pcs-pakaian-dalam-wanita-bikini-sexy-underwear-premium-fuschia-bc01d,tokopedia,IDR,0,186600,0,0,True,02.07-2024 13:07,https://www.tokopedia.com/victoriafashion-/2-pcs-pakaian-dalam-wanita-bikini-sexy-underwear-premium-fuschia-bc01d
72,9422522,dm-74-kuning-mole,tokopedia,IDR,0,8500,0,0,True,02.07-2024 13:07,https://www.tokopedia.com/vinsmoketobacco/dm-74-kuning-mole
73,10357441,knop-kenop-potensio-geser-fader-mixer-high-quality-merah-7084f,tokopedia,IDR,0,2250,0,0,True,02.07-2024 13:07,https://www.tokopedia.com/rereaudio/knop-kenop-potensio-geser-fader-mixer-high-quality-merah-7084f
74,15429227,ck-sport-cotton-bikini-berkualitas,tokopedia,IDR,0,173100,0,0,True,02.07-2024 13:07,https://www.tokopedia.com/krinjani/ck-sport-cotton-bikini-berkualitas
